global_index,half,local_index,x_mm,y_mm,matrix_row,matrix_col,type,notes
0,left,0,95.25,-5.00,0,5,key,PCB LED1
1,left,1,95.25,14.05,1,5,key,PCB LED2
2,left,2,95.25,33.10,2,5,key,PCB LED3
3,left,3,76.20,-7.50,0,4,key,PCB LED4
4,left,4,76.20,11.55,1,4,key,PCB LED5
5,left,5,76.20,30.60,2,4,key,PCB LED6
6,left,6,57.15,-10.00,0,3,key,PCB LED7
7,left,7,57.15,9.05,1,3,key,PCB LED8
8,left,8,57.15,28.10,2,3,key,PCB LED9
9,left,9,57.15,47.15,3,2,key,PCB LED10
10,left,10,38.10,-5.30,0,2,key,PCB LED11
11,left,11,38.10,13.75,1,2,key,PCB LED12
12,left,12,38.10,32.80,2,2,key,PCB LED13
13,left,13,38.10,51.85,3,1,key,PCB LED14
14,left,14,19.05,1.70,0,1,key,PCB LED15
15,left,15,19.05,20.75,1,1,key,PCB LED16
16,left,16,19.05,39.80,2,1,key,PCB LED17
17,left,17,0.00,1.70,0,0,key,PCB LED18
18,left,18,0.00,20.75,1,0,key,PCB LED19
19,left,19,0.00,39.80,2,0,key,PCB LED20
20,left,20,85.72,-4.96,none,none,underglow,PCB LED21
21,left,21,46.99,-5.80,none,none,underglow,PCB LED22
22,left,22,9.52,1.70,none,none,underglow,PCB LED23
23,left,23,0.02,16.42,none,none,underglow,PCB LED24
24,left,24,0.05,35.38,none,none,underglow,PCB LED25
25,left,25,38.08,47.46,none,none,underglow,PCB LED26
26,left,26,57.14,42.68,none,none,underglow,PCB LED27
27,left,27,79.18,52.36,none,none,underglow,PCB LED28
28,left,28,101.16,54.80,none,none,underglow,PCB LED29
29,left,29,118.15,60.63,none,none,underglow,PCB LED30
30,right,0,90.59,58.66,none,none,underglow,PCB LED1
31,right,1,101.70,53.42,none,none,underglow,PCB LED2
32,right,2,133.39,24.47,none,none,underglow,PCB LED3
33,right,3,152.38,40.07,none,none,underglow,PCB LED4
34,right,4,180.75,59.54,none,none,underglow,PCB LED5
35,right,5,209.57,33.05,none,none,underglow,PCB LED6
36,right,6,209.52,14.07,none,none,underglow,PCB LED7
37,right,7,199.98,-0.14,none,none,underglow,PCB LED8
38,right,8,162.56,-7.85,none,none,underglow,PCB LED9
39,right,9,141.93,-10.49,none,none,underglow,PCB LED10
40,right,10,209.55,-0.20,4,0,key,PCB LED11
41,right,11,209.55,18.85,5,0,key,PCB LED12
42,right,12,209.55,37.90,6,0,key,PCB LED13
43,right,13,190.50,-0.20,4,1,key,PCB LED14
44,right,14,190.50,18.85,5,1,key,PCB LED15
45,right,15,190.50,37.90,6,1,key,PCB LED16
46,right,16,190.50,56.95,7,1,key,PCB LED17
47,right,17,171.45,-7.20,4,2,key,PCB LED18
48,right,18,171.45,11.85,5,2,key,PCB LED19
49,right,19,171.45,30.90,6,2,key,PCB LED20
50,right,20,152.40,-11.90,4,3,key,PCB LED21
51,right,21,152.40,7.15,5,3,key,PCB LED22
52,right,22,152.40,26.20,6,3,key,PCB LED23
53,right,23,133.35,-9.40,4,4,key,PCB LED24
54,right,24,133.35,9.65,5,4,key,PCB LED25
55,right,25,133.35,28.70,6,4,key,PCB LED26
56,right,26,114.30,-6.90,4,5,key,PCB LED27
57,right,27,114.30,12.15,5,5,key,PCB LED28
58,right,28,114.30,31.20,6,5,key,PCB LED29
